Year-Week,Open,Close,High,Low,Volume,Label
2019-36,55.03,54.26,55.31,53.85,45622600.0,Bad
2019-37,54.1,53.91,54.7,53.63,47819600.0,Bad
2019-38,53.91,54.31,54.64,53.88,38312500.0,Good
2019-39,54.15,54.54,54.78,52.82,51718000.0,Good
2019-40,54.33,53.3,54.36,53.2,38361500.0,Bad
2019-41,53.49,54.78,55.39,53.13,51331800.0,Good
2019-42,54.45,53.75,54.82,53.67,38923800.0,Bad
2019-43,53.74,53.9,54.74,53.16,40491400.0,Good
2019-44,53.96,52.21,54.0,51.96,51439800.0,Bad
2019-45,52.33,52.67,52.68,51.58,42557500.0,Good
2019-46,52.68,53.03,53.44,52.67,41619200.0,Good
2019-47,53.28,53.4,54.1,52.77,30037300.0,Good
2019-48,53.32,54.42,54.5,52.85,50033900.0,Good
2019-49,54.3,54.42,54.55,53.66,42178500.0,Good
2019-50,54.69,54.97,55.2,53.89,61580800.0,Good
2019-51,55.0,55.35,55.45,54.64,16483300.0,Good
